Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94709-83138,TE,Ross,Ross Dwelley,Dwelley,4.5,4,4400,SF@CLE,SF,CLE,,,,,,TE/FLEX
94709-87371,RB,Ty,Ty Chandler,Chandler,1.8600000381469726,5,4400,MIN@CHI,MIN,CHI,,,,,,RB/FLEX
94709-89437,WR,Tim,Tim Jones,Jones,0.8333333333333334,3,4400,IND@JAC,JAC,IND,,,,,,WR/FLEX
94709-56708,TE,Will,Will Dissly,Dissly,3.8499999046325684,2,4400,SEA@CIN,SEA,CIN,,,,,,TE/FLEX
94709-89493,RB,Chase,Chase Brown,Brown,0.36666667461395264,3,4400,SEA@CIN,CIN,SEA,,,,,,RB/FLEX
94709-44449,WR,Willie,Willie Snead IV,Snead IV,1.399999976158142,1,4400,SF@CLE,SF,CLE,,,,,,WR/FLEX
94709-73176,TE,Luke,Luke Farrell,Farrell,1.6666666666666667,3,4400,IND@JAC,JAC,IND,,,,,,TE/FLEX
94709-80353,TE,Robert,Robert Tonyan,Tonyan,1.6000000635782878,3,4400,MIN@CHI,CHI,MIN,,,,,,TE/FLEX
94709-32243,WR,Marquise,Marquise Goodwin,Goodwin,0.15000000596046448,4,4400,SF@CLE,CLE,SF,,,,,,WR/FLEX
94709-94094,TE,Brevin,Brevin Jordan,Jordan,6,2,4400,NO@HOU,HOU,NO,,,,,,TE/FLEX
94709-70601,TE,Harrison,Harrison Bryant,Bryant,2.200000047683716,4,4400,SF@CLE,CLE,SF,,,,,,TE/FLEX
94709-93150,WR,Jake,Jake Bobo,Bobo,2.6000000635782876,3,4400,SEA@CIN,SEA,CIN,,,,,,WR/FLEX
94709-62505,TE,MyCole,MyCole Pruitt,Pruitt,1.3999999364217122,3,4300,WAS@ATL,ATL,WAS,,,,,,TE/FLEX
94709-94345,TE,Cole,Cole Turner,Turner,3.049999952316284,4,4300,WAS@ATL,WAS,ATL,,,,,,TE/FLEX
